adsh,cik,gvkey,form,filed,co_conm,will,shall,going_to,expect_to,expected_to,expecting_to
0000950123-09-024681,42542,5229,10-Q,20090723,GOODRICH CORP,173.0,6.0,0.0,0.0,0.0,0.0
0000950123-09-024912,1054374,66708,10-Q,20090724,BROADCOM CORP,311.0,1.0,0.0,0.0,0.0,0.0
0000950123-09-025033,29905,4058,10-Q,20090724,DOVER CORP,137.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-025125,2969,1209,10-Q,20090724,AIR PRODUCTS & CHEMICALS INC,131.0,6.0,0.0,0.0,0.0,0.0
0000950123-09-025178,1113169,12138,10-Q,20090724,PRICE (T. ROWE) GROUP,241.0,2.0,0.0,0.0,0.0,0.0
0000950123-09-025362,310158,7257,10-Q,20090724,MERCK & CO,157.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-025764,30554,4087,10-Q,20090727,DU PONT (E I) DE NEMOURS,285.0,2.0,0.0,0.0,0.0,0.0
0000950123-09-026374,927653,7171,10-Q,20090728,MCKESSON CORP,267.0,415.0,0.0,0.0,0.0,0.0
0000950123-09-026402,10456,2086,10-Q,20090728,BAXTER INTERNATIONAL INC,224.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-026632,1105705,25056,10-Q,20090729,TIME WARNER INC,204.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-026820,949039,61409,10-Q,20090729,DIAMOND OFFSHRE DRILLING INC,57.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-026861,64040,7163,10-Q,20090729,S&P GLOBAL INC,151.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-026905,95521,10190,10-Q,20090729,SUPERVALU INC,212.0,131.0,0.0,0.0,0.0,0.0
0000950123-09-026987,30625,4108,10-Q,20090729,FLOWSERVE CORP,137.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-027003,908255,28742,10-Q,20090729,BORGWARNER INC,155.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-027011,1170650,7186,10-Q,20090729,MEDCO HEALTH SOLUTIONS INC,267.0,25.0,0.0,0.0,0.0,0.0
0000950123-09-027072,1306830,162254,10-Q,20090729,CELANESE CORP,245.0,203.0,0.0,0.0,0.0,0.0
0000950123-09-027154,39899,4988,10-Q,20090730,TEGNA INC,202.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-027482,823768,14477,10-Q,20090730,WASTE MANAGEMENT INC,87.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-027485,1424847,147175,10-Q,20090730,LORILLARD INC,71.0,10.0,0.0,0.0,0.0,0.0
0000950123-09-027630,54480,6335,10-Q,20090730,KANSAS CITY SOUTHERN,69.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-028069,1275283,120877,10-Q,20090731,REYNOLDS AMERICAN INC,351.0,12.0,0.0,0.0,0.0,0.0
0000950123-09-028093,89800,9667,10-Q,20090731,SHERWIN-WILLIAMS CO,322.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-028099,59478,6730,10-Q,20090731,LILLY (ELI) & CO,313.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-028100,914208,29804,10-Q,20090731,INVESCO LTD,168.0,6.0,0.0,0.0,0.0,0.0
0000950123-09-028388,816284,13599,10-Q,20090731,CELGENE CORP,290.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-028453,1163739,1661,10-Q,20090731,NABORS INDUSTRIES LTD,141.0,19.0,0.0,0.0,0.0,0.0
0000950123-09-028851,216228,5860,10-Q,20090803,ITT INC,308.0,4.0,0.0,0.0,0.0,0.0
0000950123-09-028975,50863,6008,10-Q,20090803,INTEL CORP,189.0,49.0,0.0,0.0,0.0,0.0
0000950123-09-029190,1099219,133768,10-Q,20090804,METLIFE INC,476.0,5.0,0.0,0.0,0.0,0.0
0000950123-09-029309,1024478,9203,10-Q,20090804,ROCKWELL AUTOMATION,208.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-029613,1437107,164296,10-Q,20090804,DISCOVERY INC,360.0,59.0,0.0,0.0,0.0,0.0
0000950123-09-029672,200406,6266,10-Q,20090804,JOHNSON & JOHNSON,212.0,2.0,0.0,0.0,0.0,0.0
0000950123-09-029713,1163165,8549,10-Q,20090804,CONOCOPHILLIPS,238.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-029843,829224,25434,10-Q,20090805,STARBUCKS CORP,136.0,41.0,0.0,0.0,0.0,0.0
0000950123-09-029919,886982,114628,10-Q,20090805,GOLDMAN SACHS GROUP INC,373.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-030335,849399,15855,10-Q,20090805,NORTONLIFELOCK INC,358.0,289.0,0.0,0.0,0.0,0.0
0000950123-09-030370,1396009,11228,10-Q,20090805,VULCAN MATERIALS CO,309.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-030415,1037868,1598,10-Q,20090805,AMETEK INC,138.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-030426,1136893,165993,10-Q,20090805,FIDELITY NATIONAL INFO SVCS,2116.0,3719.0,0.0,0.0,0.0,0.0
0000950123-09-030790,1140859,31673,10-Q,20090806,AMERISOURCEBERGEN CORP,239.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-030860,93410,2991,10-Q,20090806,CHEVRON CORP,69.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-030883,808362,1976,10-Q,20090806,BAKER HUGHES INC,129.0,18.0,0.0,0.0,0.0,0.0
0000950123-09-030911,1141982,3497,10-Q,20090806,COOPER INDUSTRIES PLC,257.0,28.0,0.0,0.0,0.0,0.0
0000950123-09-030946,1090012,14934,10-Q,20090806,DEVON ENERGY CORP,164.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-031054,40987,5125,10-Q,20090806,GENUINE PARTS CO,38.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-031199,316206,5723,10-Q,20090806,STARWOOD HOTELS&RESORTS WRLD,286.0,1.0,0.0,0.0,0.0,0.0
0000950123-09-031281,885725,25279,10-Q,20090806,BOSTON SCIENTIFIC CORP,148.0,79.0,0.0,0.0,0.0,0.0
0000950123-09-031364,310522,4601,10-Q,20090806,FEDERAL NATIONAL MORTGA ASSN,353.0,5.0,0.0,0.0,0.0,0.0
0000950123-09-031492,890801,25783,10-Q,20090807,MCAFEE INC,255.0,30.0,0.0,0.0,0.0,0.0
0000950123-09-031596,1060391,112168,10-Q,20090807,REPUBLIC SERVICES INC,269.0,1.0,0.0,0.0,0.0,0.0
0000950123-09-031677,1000697,61574,10-Q,20090807,WATERS CORP,283.0,2.0,0.0,0.0,0.0,0.0
0000950123-09-031774,96223,6682,10-Q,20090807,JEFFERIES FINANCIAL GRP INC,158.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-031817,1064728,142460,10-Q,20090807,PEABODY ENERGY CORP,216.0,67.0,0.0,0.0,0.0,0.0
0000950123-09-031901,1035002,15247,10-Q,20090807,VALERO ENERGY CORP,78.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-031993,921847,122015,10-Q,20090807,HUDSON CITY BANCORP INC,113.0,12.0,0.0,0.0,0.0,0.0
0000950123-09-032096,4447,1380,10-Q,20090807,HESS CORP,84.0,256.0,0.0,0.0,0.0,0.0
0000950123-09-032159,1043604,121718,10-Q,20090807,JUNIPER NETWORKS INC,241.0,12.0,0.0,0.0,0.0,0.0
0000950123-09-032191,72971,8007,10-Q,20090807,WELLS FARGO & CO,253.0,207.0,0.0,0.0,0.0,0.0
0000950123-09-032199,4977,1449,10-Q,20090807,AFLAC INC,215.0,4.0,0.0,0.0,0.0,0.0
0000950123-09-032231,65100,7267,10-Q,20090807,MERRILL LYNCH & CO INC,343.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-032262,6769,1678,10-Q,20090807,APACHE CORP,105.0,256.0,0.0,0.0,0.0,0.0
0000950123-09-032270,721083,9772,10-Q,20090807,SMITH INTERNATIONAL INC,152.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-032328,1021860,63892,10-Q,20090810,NATIONAL OILWELL VARCO INC,202.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-032414,1066107,4242,10-Q,20090810,EL PASO CORP,269.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-032467,1001082,60900,10-Q,20090810,DISH NETWORK CORP,164.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-032642,91576,9783,10-Q,20090810,KEYCORP,305.0,3.0,0.0,0.0,0.0,0.0
0000950123-09-032660,10795,2111,10-Q,20090810,BECTON DICKINSON & CO,48.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-032665,20171,3024,10-Q,20090810,CHUBB CORP,73.0,26.0,0.0,0.0,0.0,0.0
0000950123-09-032668,945764,20653,10-Q,20090810,DENBURY RESOURCES INC,131.0,15.0,0.0,0.0,0.0,0.0
0000950123-09-032702,915912,29875,10-Q,20090810,AVALONBAY COMMUNITIES INC,200.0,196.0,0.0,0.0,0.0,0.0
0000950123-09-032827,1050915,66446,10-Q,20090810,QUANTA SERVICES INC,307.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-032832,19617,2968,10-Q,20090810,JPMORGAN CHASE & CO,352.0,6.0,0.0,0.0,0.0,0.0
0000950123-09-033037,36104,4723,10-Q,20090810,U S BANCORP,175.0,259.0,0.0,0.0,0.0,0.0
0000950123-09-033506,103379,11060,10-Q,20090811,VF CORP,271.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-034092,203077,9372,10-Q,20090812,ST JUDE MEDICAL INC,159.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-036183,6281,1632,10-Q,20090818,ANALOG DEVICES,287.0,288.0,0.0,0.0,0.0,0.0
0000950123-09-039364,109198,11672,10-Q,20090828,TJX COS INC (THE),62.0,348.0,0.0,0.0,0.0,0.0
0000950123-09-040145,6951,1704,10-Q,20090901,APPLIED MATERIALS INC,252.0,37.0,0.0,0.0,0.0,0.0
0000950123-09-040859,354950,5680,10-Q,20090903,HOME DEPOT INC,32.0,8.0,0.0,0.0,0.0,0.0
0000950123-09-041361,12659,2269,10-Q,20090904,BLOCK H & R INC,369.0,100.0,0.0,0.0,0.0,0.0
0000950123-09-041984,72333,7922,10-Q,20090909,NORDSTROM INC,235.0,537.0,0.0,0.0,0.0,0.0
0000950123-09-042090,1326380,145049,10-Q,20090909,GAMESTOP CORP,203.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-044076,1048911,4598,10-Q,20090918,FEDEX CORP,118.0,0.0,0.0,0.0,0.0,0.0
0000950123-09-045262,723531,8402,10-Q,20090923,PAYCHEX INC,188.0,38.0,0.0,0.0,0.0,0.0
0000950123-09-045366,40704,5071,10-Q,20090924,GENERAL MILLS INC,117.0,3.0,0.0,0.0,0.0,0.0
0001004980-09-000057,1004980,8264,10-Q,20090805,PG&E CORP,165.0,67.0,0.0,0.0,0.0,0.0
0001031296-09-000021,1031296,8099,10-Q,20090803,FIRSTENERGY CORP,437.0,124.0,0.0,0.0,0.0,0.0
0001039684-09-000053,1039684,8151,10-Q,20090806,ONEOK INC,287.0,10.0,0.0,0.0,0.0,0.0
0001045810-09-000024,1045810,117768,10-Q,20090820,NVIDIA CORP,219.0,13.0,0.0,0.0,0.0,0.0
0001047469-09-006994,1037949,61489,10-Q,20090730,QWEST COMMUNICATION INTL INC,114.0,0.0,0.0,0.0,0.0,0.0
0001047469-09-007013,21344,3144,10-Q,20090730,COCA-COLA CO,153.0,0.0,0.0,0.0,0.0,0.0
0001047469-09-007036,833444,6268,10-Q,20090730,JOHNSON CONTROLS INTL PLC,581.0,99.0,0.0,0.0,0.0,0.0
0001047469-09-007070,1385157,177267,10-Q,20090731,TE CONNECTIVITY LTD,325.0,0.0,0.0,0.0,0.0,0.0
0001047469-09-007107,1324404,163946,10-Q,20090803,CF INDUSTRIES HOLDINGS INC,124.0,95.0,0.0,0.0,0.0,0.0
0001047469-09-007134,24545,3505,10-Q,20090804,MOLSON COORS BEVERAGE CO,295.0,219.0,0.0,0.0,0.0,0.0
0001047469-09-007300,813828,13714,10-Q,20090806,VIACOMCBS INC,152.0,0.0,0.0,0.0,0.0,0.0
0001047469-09-007340,827052,9846,10-Q,20090807,EDISON INTERNATIONAL,249.0,151.0,0.0,0.0,0.0,0.0
0001047469-09-007384,1004440,1995,10-Q,20090807,CONSTELLATION ENERGY GRP INC,163.0,12.0,0.0,0.0,0.0,0.0
0001047469-09-007400,831001,3243,10-Q,20090807,CITIGROUP INC,515.0,237.0,0.0,0.0,0.0,0.0
0001104659-09-045198,51143,6066,10-Q,20090728,INTL BUSINESS MACHINES CORP,244.0,47.0,0.0,0.0,0.0,0.0
0001104659-09-045366,1274057,160255,10-Q,20090729,HOSPIRA INC,193.0,4.0,0.0,0.0,0.0,0.0
0001104659-09-045570,33213,4430,10-Q,20090729,EQT CORP,416.0,3991.0,0.0,0.0,0.0,0.0
0001104659-09-045874,26172,3650,10-Q,20090730,CUMMINS INC,183.0,435.0,0.0,0.0,0.0,0.0
0001104659-09-046313,72903,7977,10-Q,20090731,XCEL ENERGY INC,172.0,64.0,0.0,0.0,0.0,0.0
0001104659-09-046329,66740,7435,10-Q,20090731,3M CO,246.0,6.0,0.0,0.0,0.0,0.0
0001104659-09-046716,765880,13125,10-Q,20090804,HEALTHPEAK PROPERTIES INC,185.0,43.0,0.0,0.0,0.0,0.0
0001104659-09-046999,820027,164708,10-Q,20090805,AMERIPRISE FINANCIAL INC,102.0,11.0,0.0,0.0,0.0,0.0
0001104659-09-047200,46765,5581,10-Q,20090805,HELMERICH & PAYNE,92.0,3.0,0.0,0.0,0.0,0.0
0001104659-09-047410,1126328,145701,10-Q,20090805,PRINCIPAL FINANCIAL GRP INC,261.0,0.0,0.0,0.0,0.0,0.0
0001104659-09-047605,820313,14282,10-Q,20090806,AMPHENOL CORP,155.0,178.0,0.0,0.0,0.0,0.0
0001104659-09-047977,31462,4213,10-Q,20090807,ECOLAB INC,163.0,0.0,0.0,0.0,0.0,0.0
0001104659-09-048013,1800,1078,10-Q,20090807,ABBOTT LABORATORIES,200.0,0.0,0.0,0.0,0.0,0.0
0001104659-09-048054,812074,8215,10-Q,20090807,O-I GLASS INC,122.0,2.0,0.0,0.0,0.0,0.0
0001104659-09-048135,1168054,150699,10-Q,20090807,CIMAREX ENERGY CO,129.0,0.0,0.0,0.0,0.0,0.0
0001104659-09-048222,315293,3221,10-Q,20090807,AON PLC,321.0,72.0,0.0,0.0,0.0,0.0
0001104659-09-048234,718877,180405,10-Q,20090807,ACTIVISION BLIZZARD INC,288.0,190.0,0.0,0.0,0.0,0.0
0001104659-09-048635,1124198,4818,10-Q,20090810,FLUOR CORP,117.0,0.0,0.0,0.0,0.0,0.0
0001104659-09-051480,791519,15521,10-Q,20090825,STAPLES INC,159.0,1.0,0.0,0.0,0.0,0.0
0001104659-09-052248,315189,3835,10-Q,20090828,DEERE & CO,146.0,2.0,0.0,0.0,0.0,0.0
0001104659-09-052321,27419,3813,10-Q,20090828,TARGET CORP,91.0,192.0,0.0,0.0,0.0,0.0
0001104659-09-055895,56873,6502,10-Q,20090923,KROGER CO,165.0,2.0,0.0,0.0,0.0,0.0
0001122304-09-000091,1122304,1177,10-Q,20090731,AETNA INC,84.0,15.0,0.0,0.0,0.0,0.0
0001130310-09-000035,1130310,5742,10-Q,20090805,CENTERPOINT ENERGY INC,241.0,12.0,0.0,0.0,0.0,0.0
0001140361-09-017223,97476,10499,10-Q,20090729,TEXAS INSTRUMENTS INC,228.0,0.0,0.0,0.0,0.0,0.0
0001140361-09-017288,21665,3170,10-Q,20090730,COLGATE-PALMOLIVE CO,87.0,6.0,0.0,0.0,0.0,0.0
0001140361-09-017928,37996,4839,10-Q,20090805,FORD MOTOR CO,390.0,32.0,0.0,0.0,0.0,0.0
0001144204-09-040507,32604,4321,10-Q,20090805,EMERSON ELECTRIC CO,186.0,6.0,0.0,0.0,0.0,0.0
0001145443-09-001878,879101,24731,10-Q,20090806,KIMCO REALTY CORP,253.0,12.0,0.0,0.0,0.0,0.0
0001157523-09-005774,78003,8530,10-Q,20090806,PFIZER INC,484.0,263.0,0.0,0.0,0.0,0.0
0001157523-09-005813,1067983,2176,10-Q,20090807,BERKSHIRE HATHAWAY,109.0,0.0,0.0,0.0,0.0,0.0
0001166126-09-000048,1166126,8446,10-Q,20090909,PENNEY (J C) CO,128.0,58.0,0.0,0.0,0.0,0.0
0001193125-09-150935,1048286,28930,10-Q,20090717,MARRIOTT INTL INC,187.0,256.0,0.0,0.0,0.0,0.0
0001193125-09-152905,12927,2285,10-Q,20090722,BOEING CO,124.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-153165,320193,1690,10-Q,20090722,APPLE INC,129.0,156.0,0.0,0.0,0.0,0.0
0001193125-09-153175,768251,14324,10-Q,20090722,ALTERA CORP,45.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-153203,936468,6774,10-Q,20090722,LOCKHEED MARTIN CORP,87.0,41.0,0.0,0.0,0.0,0.0
0001193125-09-153251,313616,3735,10-Q,20090723,DANAHER CORP,293.0,247.0,0.0,0.0,0.0,0.0
0001193125-09-153752,1047122,8972,10-Q,20090723,RAYTHEON CO,82.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-153889,14272,2403,10-Q,20090723,BRISTOL-MYERS SQUIBB CO,245.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-154009,1035267,136725,10-Q,20090723,INTUITIVE SURGICAL INC,99.0,32.0,0.0,0.0,0.0,0.0
0001193125-09-154110,4281,28192,10-Q,20090723,ARCONIC INC,134.0,5.0,0.0,0.0,0.0,0.0
0001193125-09-154174,1018724,64768,10-Q,20090724,AMAZON.COM INC,97.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-154417,101829,10983,10-Q,20090724,UNITED TECHNOLOGIES CORP,206.0,20.0,0.0,0.0,0.0,0.0
0001193125-09-154691,815556,14225,10-Q,20090724,FASTENAL CO,27.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-154888,1109357,8539,10-Q,20090724,EXELON CORP,458.0,8.0,0.0,0.0,0.0,0.0
0001193125-09-154939,100885,10867,10-Q,20090724,UNION PACIFIC CORP,56.0,5.0,0.0,0.0,0.0,0.0
0001193125-09-155582,86144,9359,10-Q,20090727,SAFEWAY INC,56.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-155628,79879,8247,10-Q,20090727,PPG INDUSTRIES INC,330.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-155929,9892,2044,10-Q,20090727,BARD (C.R.) INC,99.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-156564,1339947,165675,10-Q,20090728,VIACOM INC,91.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-156720,1070750,7063,10-Q,20090728,HOST HOTELS & RESORTS INC,65.0,56.0,0.0,0.0,0.0,0.0
0001193125-09-156797,1163302,23978,10-Q,20090728,UNITED STATES STEEL CORP,321.0,177.0,0.0,0.0,0.0,0.0
0001193125-09-157212,1065088,114524,10-Q,20090729,EBAY INC,188.0,1.0,0.0,0.0,0.0,0.0
0001193125-09-157960,63276,7116,10-Q,20090729,MATTEL INC,90.0,78.0,0.0,0.0,0.0,0.0
0001193125-09-158007,87347,9465,10-Q,20090729,SCHLUMBERGER LTD,95.0,48.0,0.0,0.0,0.0,0.0
0001193125-09-158214,1156039,145046,10-Q,20090729,ANTHEM INC,143.0,2.0,0.0,0.0,0.0,0.0
0001193125-09-158470,52988,6216,10-Q,20090730,JACOBS ENGINEERING GROUP INC,108.0,482.0,0.0,0.0,0.0,0.0
0001193125-09-158844,8868,1920,10-Q,20090730,AVON PRODUCTS,68.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-159399,764065,3107,10-Q,20090730,CLEVELAND-CLIFFS INC,143.0,48.0,0.0,0.0,0.0,0.0
0001193125-09-159490,858470,20548,10-Q,20090730,CABOT OIL & GAS CORP,130.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-159615,1385187,177264,10-Q,20090730,COVIDIEN PLC,316.0,401.0,0.0,0.0,0.0,0.0
0001193125-09-159648,732712,2136,10-Q,20090730,VERIZON COMMUNICATIONS INC,476.0,735.0,0.0,0.0,0.0,0.0
0001193125-09-159678,1403161,179534,10-Q,20090730,VISA INC,126.0,3.0,0.0,0.0,0.0,0.0
0001193125-09-159733,1141391,160225,10-Q,20090731,MASTERCARD INC,171.0,251.0,0.0,0.0,0.0,0.0
0001193125-09-160726,793952,12389,10-Q,20090731,HARLEY-DAVIDSON INC,308.0,66.0,0.0,0.0,0.0,0.0
0001193125-09-160729,1065280,147579,10-Q,20090731,NETFLIX INC,34.0,0.0,0.0,0.0,0.0,0.0
0001193125-09-160797,715957,4029,10-Q,20090731,DOMINION ENERGY INC,116.0,2.0,0.0,0.0,0.0,0.0
0001193125-09-160870,1276520,158354,10-Q,20090731,GENWORTH FINANCIAL INC,146.0,4.0,0.0,0.0,0.0,0.0
0001193125-09-161835,1070412,120093,10-Q,20090803,CNX RESOURCES CORPORATION,76.0,303.0,0.0,0.0,0.0,0.0
